name,source,gender,wikidata,type
Amalienstraße,wikidata,F,Q60295,way
Cäcilienring,wikidata,F,Q268382,way
Elisabethstraße,wikidata,F,Q159862,way
Herzogin-Ida-Straße,wikidata,F,Q71062,way
Kögel-Willms-Platz,wikidata,F,Q110529594,way
Kögel-Willms-Straße,wikidata,F,Q110529594,way
Marienstraße,wikidata,F,Q345,way
Stöltjestraße,wikidata,F,Q110543369,way
Thoradestraße,wikidata,F,Q17327012,way
Anton-Günther-Straße,wikidata,M,Q69137,way
Arndtstraße,wikidata,M,Q57351,way
Bachstraße,wikidata,M,Q1339,way
Beethovenstraße,wikidata,M,Q255,way
Brahmsstraße,wikidata,M,Q7294,way
Brucknerstraße,wikidata,M,Q81752,way
Brunsweg,wikidata,M,Q110532478,way
Buttelmannsweg,wikidata,M,Q110532534,way
Carl-Ferdinand-Bosse-Weg,wikidata,M,Q28122168,way
Carl-Rohde-Straße,wikidata,M,Q110529913,way
Christian-Ludwig-Bosse-Straße,wikidata,M,Q1080888,way
Cornelius-Schmidt-Straße,wikidata,M,Q64152404,way
Diedrich-Blohm-Weg,wikidata,M,Q110543635,way
Dietrich-Bonhoeffer-Straße,wikidata,M,Q76326,way
Ernst-Klische-Straße,wikidata,M,Q1358988,way
Fabriciusstraße,wikidata,M,Q110529610,way
Florianstraße,wikidata,M,Q298845,way
Gloysteinstraße,wikidata,M,Q110529487,way
Gluckstraße,wikidata,M,Q130759,way
Goethestraße,wikidata,M,Q5879,way
Graf-Johann-Straße,wikidata,M,Q124140,way
Graf-Moritz-Straße,wikidata,M,Q87064,way
Graf-von-Galen-Straße,wikidata,M,Q76439,way
Grafestraße,wikidata,M,Q110532043,way
Hakenstraße,wikidata,M,Q110531838,way
Händelstraße,wikidata,M,Q7302,way
Hans-Hoffhenke-Ring,wikidata,M,Q110498069,way
Harry-Wilters-Ring,wikidata,M,Q64152414,way
Haydnstraße,wikidata,M,Q7349,way
Hebbelstraße,wikidata,M,Q57182,way
Heinrich-Bruns-Weg,wikidata,M,Q110529887,way
Heinrich-Munderloh-Straße,wikidata,M,Q110498061,way
Helmsweg,wikidata,M,Q110543449,way
Herderstraße,wikidata,M,Q155547,way
Hermann-Allmers-Straße,wikidata,M,Q74511,way
Hermann-Löns-Straße,wikidata,M,Q77486,way
Hugo-Duphorn-Straße,wikidata,M,Q28836395,way
Jan-Eilers-Straße,wikidata,M,Q110543503,way
Jochen-Klepper-Straße,wikidata,M,Q76329,way
Johann-Hinrich-Wichern-Straße,wikidata,M,Q73048,way
Konkenweg,wikidata,M,Q110532418,way
Kreyenstraße,wikidata,M,Q110543378,way
Lessingstraße,wikidata,M,Q34628,way
Lisztstraße,wikidata,M,Q41309,way
Lortzingstraße,wikidata,M,Q2638401,way
Martin-Luther-Straße,wikidata,M,Q9554,way
"Meyers Gang",wikidata,M,Q110543660,way
Mörikestraße,wikidata,M,Q63699,way
Morissestraße,wikidata,M,Q1439506,way
Mozartstraße,wikidata,M,Q254,way
Pater-Kolbe-Straße,wikidata,M,Q153850,way
Peterstraße,wikidata,M,Q61274,way
Raabestraße,wikidata,M,Q60647,way
Reuterstraße,wikidata,M,Q76492,way
Richard-Strauß-Straße,wikidata,M,Q13894,way
Rudolf-Bultmann-Straße,wikidata,M,Q76327,way
Schillerstraße,wikidata,M,Q22670,way
Schubertstraße,wikidata,M,Q7312,way
Schumannstraße,wikidata,M,Q7351,way
Spillestraße,wikidata,M,Q110543342,way
Springerweg,wikidata,M,Q110543653,way
Stormstraße,wikidata,M,Q26993,way
"Töpkens Gang",wikidata,M,Q110517060,way
Uhlandstraße,wikidata,M,Q61058,way
Uhlhornstraße,wikidata,M,Q110543468,way
Von-Bodelschwingh-Straße,wikidata,M,Q87306,way
Von-Humboldt-Straße,wikidata,M,Q77888,way
Von-Kleist-Straße,wikidata,M,Q28494,way
Von-Weber-Straße,wikidata,M,Q154812,way
"Wächters Gang",wikidata,M,Q110517509,way
Wagnerstraße,wikidata,M,Q1511,way
Wiemkenstraße,wikidata,M,Q110532440,way
Wilhelm-Behrens-Straße,wikidata,M,Q110516697,way
Wilhelm-Kraatz-Straße,wikidata,M,Q110517638,way
Wilhelmstraße,wikidata,M,Q110517638,way
Willehadstraße,wikidata,M,Q499836,way
