name,source,gender,wikidata,type
August-Brötje-Straße,wikidata,,Q761022,way
"Danziger Straße",wikidata,,Q1792,way
"Leuchtenburger Straße",wikidata,,Q64152564,way
"Oldenburger Straße",wikidata,,Q2936,way
Raiffeisenstraße,wikidata,,Q2127545,way
"Rudolstädter Straße",wikidata,,Q517107,way
"Stettiner Straße",wikidata,,Q393,way
"Südender Straße",wikidata,,Q64152191,way
"Thüringer Straße",wikidata,,Q1205,way
Abtsweg,,,,way
"Achterdörper Weg",,,,way
"Achtern Grode Feldhus",,,,way
"Achtern Kamp",,,,way
"Achtern Nordpol",,,,way
Ackerweg,,,,way
Adelheidstraße,,,,way
Ahornstraße,,,,way
Allerstraße,,,,way
Alpenrosenweg,,,,way
"Alt Ipweger Weg",,,,way
"Alte Landstraße",,,,way
"Alte Schloßgärtnerei",,,,way
"Alter Bahndamm",,,,way
"Alter Lehmder Weg",,,,way
"Alter Lehmdermoorweg",,,,way
"Am Autobahnkreuz",,,,way
"Am Brink",,,,way
"Am Brook",,,,way
"Am Denkmal",,,,way
"Am Dorfplatz",,,,way
"Am Eichenbruch",,,,way
"Am Eichenwall",,,,way
"Am Ellern",,,,way
"Am Hagen",,,,way
"Am Hahner Busch",,,,way
"Am Hang",,,,way
"Am Hankhauser Busch",,,,way
"Am Hardenkamp",,,,way
"Am Heerweg",,,,way
"Am Heidkamp",,,,way
"Am Hingstkamp",,,,way
"Am Hogen Esch",,,,way
"Am Hornkamp",,,,way
"Am Horstbusch",,,,way
"Am Kleinenfelde",,,,way
"Am Langenberg",,,,way
"Am Liethegleis",,,,way
"Am Lüttjen Kamp",,,,way
"Am Mühlenhof",,,,way
"Am Nordkreuz",,,,way
"Am Nordrand",,,,way
"Am Ostermoor",,,,way
"Am Palsterkiel",,,,way
"Am Renkenkamp",,,,way
"Am Rundteich",,,,way
"Am Schießstand",,,,way
"Am Schippstroth",,,,way
"Am Sportplatz",,,,way
"Am Sternbusch",,,,way
"Am Stratjebusch",,,,way
"Am Teich",,,,way
"Am Turm",,,,way
"Am Vorwerk",,,,way
"Am Waldrand",,,,way
"Am Wasserwerk",,,,way
"Am Wiesenrand",,,,way
"Am Winkel",,,,way
Amselstraße,,,,way
"An Hagendorffs Busch",,,,way
"An den Langen Stücken",,,,way
"An den Wellen",,,,way
"An der Badeanstalt",,,,way
"An der Bäke",,,,way
"An der Bleiche",,,,way
"An der Braker Bahn",,,,way
"An der Brücke",,,,way
"An der Hankhauser Bäke",,,,way
"An der Kämpe",,,,way
"An der Lemmelheide",,,,way
"An der Vorwerksgraft",,,,way
"An der Wapel",,,,way
"An der Wilhelmshöhe",,,,way
"Auf dem Esch",,,,way
"Auf dem Kamp",,,,way
"Auf dem Knollen",,,,way
"Auf der Raade",,,,way
Bahnhofstraße,,,,way
Bahnweg,,,,way
Bäkenweg,,,,way
Balsterhörn,,,,way
"Barghorner Weg",,,,way
Barkenweg,,,,way
Baumgartenstraße,,,,way
Baumschulenweg,,,,way
"Beckhauser Büsche",,,,way
"Bei der Landwehr",,,,way
"Bekhauser Esch",,,,way
Bekhausermoorweg,,,,way
Bentweg,,,,way
Berneweg,,,,way
Bienenweide,,,,way
Birkendamm,,,,way
Birkenstraße,,,,way
"Blauer Baum",,,,way
Bogenstraße,,,,way
Bohlendamm,,,,way
"Borbecker Weg",,,,way
Brahmweg,,,,way
"Braker Chaussee",,,,way
"Breslauer Straße",,,,way
Brombeerweg,,,,way
Buchenstraße,,,,way
Bürgermeister-Brötje-Straße,,,,way
Buschweg,,,,way
"Butjadinger Straße",,,,way
"Butteler Weg",,,,way
Cassebohmweg,,,,way
Consensweg,,,,way
Dachsweg,,,,way
Deelenweg,,,,way
"Delfshauser Straße",,,,way
Delmeweg,,,,way
Denkmalsweg,,,,way
Diedrich-Freels-Straße,,,,way
Dießelweg,,,,way
Dobbenstraße,,,,way
Domsheide,,,,way
Donaustraße,,,,way
Dorfplatz,,,,way
Dorfstraße,,,,way
Dörpstraat,,,,way
Dreschkamp,,,,way
"Dringenburger Straße",,,,way
Düserweg,,,,way
Dwoweg,,,,way
Egerstraße,,,,way
Eggerkingsweg,,,,way
Eibenstraße,,,,way
Eichendorffstraße,,,,way
Eichenstraße,,,,way
Elbestraße,,,,way
Elektrizitätsweg,,,,way
Ellbogenstraße,,,,way
Emsoldstraße,,,,way
Emsstraße,,,,way
